"industry","alpha","alpha t ratio","alpha p value","beta","beta t ratio","beta p value","R","fitted-performance","in-sample performance","out-of-sample performance"
"Aero","0.658986012296149","1.30418343687739","0.194709284628863","0.9953775594532","9.43635814442844","4.33381669153065e-16","0.430075188379121","0.661536596366752","0.498720321071577","-0.0548654912053248"
"Ships","1.19012073597189","2.00572244990443","0.0471735751132374","0.887633747403875","7.16584986837468","7.22847792525515e-11","0.303215736349323","1.23284666106734","1.01985512866959","0.195022985358206"
"Guns","1.14219677884654","1.8538522699633","0.0662576325923104","0.344856449438844","2.6811840710959","0.00838699118301638","0.0574232759462694","1.34189561593395","1.11301092020856","0.493140493349431"
"Gold","1.15634605854938","1.21183150450839","0.227997910350341","0.375298643232932","1.88401993973256","0.0620231733848276","0.0292023432769717","1.34907597206223","0.807299132492634","-0.840083089806831"
"Mines","1.65019433274621","2.68812522702983","0.00822463928571701","1.20958233896688","9.43852060975219","4.28316780803979e-16","0.430187519692525","1.56701712534698","1.32681710416181","-0.997183840577276"
"Coal","2.87084785839223","2.38279849131455","0.018778702576715","1.13761986457654","4.52301878974365","1.46147579291002e-05","0.147754145303657","2.81994710615646","1.96413965988868","-3.64876781037984"
"Oil","0.911067554165407","1.95358672962191","0.0531167539664086","0.660334267110861","6.78265984071069","4.97529770134307e-10","0.280507435244646","1.02789424645985","0.898842598944516","-1.1371857593249"
"Util","0.655071454209098","1.67897811098806","0.0958025023349407","0.451532230056128","5.54369337203568","1.83495130575506e-07","0.206629544467493","0.829283590810059","0.736399499712437","-0.284728885479657"
"Telcm","-0.56919196135982","-1.8135744649655","0.0722846618749483","1.05076200547943","16.0374413514784","2.0183375332522e-31","0.685500668030199","-0.589783988371884","-0.646024649963073","-0.0521703925840056"
"PerSv","0.555274445622797","1.27042152044036","0.206433691948669","0.576849659011633","6.32203478473632","4.77355007342725e-09","0.253013854017196","0.696169574828887","0.584386303226292","-0.806470449528085"
"BusSv","-0.133017709138565","-0.541480916866426","0.589197047819821","1.03779710828365","20.2367251803212","3.52955531766221e-40","0.776313938287082","-0.147895755645466","-0.187495268714899","0.292400237237489"
"Hardw","0.140484772971917","0.26923341317295","0.788220274939284","1.71976076721166","15.7878076393637","7.16961808026056e-31","0.678697249184174","-0.201935541021814","-0.367134783856482","-0.247330224847997"
"Softw","-0.185507680211821","-0.453132893248851","0.651285181885906","1.44703329793897","16.9315339379309","2.29142238831276e-33","0.708409308609929","-0.383098143645622","-0.477392092119533","0.337556711751108"
"Chips","-0.221318204165495","-0.412346233861687","0.680833837953638","1.7454338143826","15.5776652192342","2.09596095438295e-30","0.672825362924245","-0.579881070811528","-0.755213814295042","0.477856172103586"
"LabEq","0.284650711794925","0.671035932008992","0.503509051782242","1.44980675808664","16.3718481455194","3.7378414298354e-32","0.694330144116403","0.0868966415846883","-0.0188513152486358","0.408645177997702"
"Paper","0.330619656418424","0.841821640627491","0.401590662672177","0.808962013028347","9.86673877821226","4.15323536565143e-17","0.452061242355153","0.399791847692355","0.309903588476901","-0.273630617422005"
"Boxes","0.828565521633606","1.94865931655487","0.053709878778753","1.01968662116767","11.4876148936861","5.84446857942977e-21","0.527934469648689","0.821975046339618","0.712553658580106","-0.196239256779229"
"Trans","0.478661024253058","1.34497691843743","0.181212013665279","0.829050532561796","11.1589120394667","3.52581610623845e-20","0.513444834377657","0.541140916209149","0.465222613899707","-0.0934890872598571"
"Whlsl","0.386712130628085","1.24262871939835","0.21646837591796","0.819776778458976","12.6183709170143","1.25006815423871e-23","0.574350328578871","0.452273642283807","0.392731482805619","-0.171455150995081"
"Rtail","0.119051878499691","0.363818626179944","0.716644496747536","0.80171055008279","11.7360070556504","1.50638882787249e-21","0.538582809265104","0.190498832621244","0.127830365614712","0.328750618198237"
"Meals","0.598454709303446","1.64717773459941","0.102182077826794","0.729177425943046","9.61383082590531","1.6497999537705e-16","0.439232109940207","0.693880050061069","0.615459617214953","0.181273191832809"
"Banks","0.057226343345744","0.123886158489882","0.901616194162098","0.926268319269344","9.60544935672958","1.72686706770326e-16","0.43880250019119","0.0849498797309445","-0.0494830024510673","-0.22169420286402"
"Insur","0.248165618659859","0.575023179324288","0.566370412776567","0.884542967695699","9.81785827129865","5.42338945273032e-17","0.449602069616714","0.291121323063825","0.174598510476265","0.121079533936319"
"RlEst","0.651062913163835","0.919160135357755","0.359886923528008","1.24830501299718","8.4419548282531","9.22665755757977e-14","0.376540820326348","0.549110977903033","0.280186897414103","-0.469336942566878"
"Fin","0.506613227807614","1.53815792825272","0.126687265914907","1.52991439371328","22.2507994740218","4.8686778520633e-44","0.807534871855208","0.268752572544007","0.207069317495445","-0.28507697815745"
"Other","-0.29063246467107","-0.653288095275668","0.514841486911443","0.987781790575638","10.6359361433814","6.17736773476067e-19","0.489449644887176","-0.286295221423916","-0.407601756293074","-0.305171389224723"
